Bicicleta,Precio,Especificaciones,categoria
Lux World Cup CF 8,"4,649 US$","SRAM GX Eagle AXS Transmission, Fox Factory 32 Step Cast Remote",Bicicleta de Montaña
Exceed CF SLX MVDP,"3,719 US$","Shimano Deore XTR de 12 velocidades, FOX 32 Step-Cast Factory Remote",Bicicleta de Montaña
Neuron CF 9,"3,279 US$","Shimano DEORE XT M8100, FOX 34 Float Performance Elite FIT4",Bicicleta de Montaña
Exceed CF 7,"2,429 US$","Shimano DEORE XT M8100, FOX 32 Step-Cast Performance Elite Remote",Bicicleta de Montaña
Neuron CF 8,"2,519 US$","Shimano SLX de 12 velocidades, FOX 34 Float Performance GRIP",Bicicleta de Montaña
Lux World Cup CF 7,"3,279 US$","Shimano DEORE XT M8100, FOX 32 Step-Cast Performance Elite Remote",Bicicleta de Montaña
Lux World Cup CFR LTD,"6,969 US$","SRAM XX SL Eagle AXS Transmission, Rock Shox SID SL Ultimate 2-Position Remote",Bicicleta de Montaña
Exceed CF SLX CLLCTV,"4,169 US$","SRAM XX1 Eagle AXS, RockShox SID SL Ultimate RaceDay Remote",Bicicleta de Montaña
Grand Canyon 6,899 US$,"Shimano DEORE XT M8100, SR Suntour XCR",Bicicleta de Montaña
Grand Canyon 7,"1,099 US$","SRAM SX Eagle, RockShox Judy Silver",Bicicleta de Montaña
Stoic 4,"1,419 US$","Shimano Deore M6100, ROCKSHOX PIKE SELECT",Bicicleta de Montaña
Stoic 3,"1,049 US$","SRAM SX Eagle, ROCKSHOX 35 Silver TurnKey",Bicicleta de Montaña
Exceed CF 4,"1,249 US$","SRAM SX Eagle, RockShox Recon RL Remote",Bicicleta de Montaña
Exceed CF 6,"1,869 US$","Shimano SLX de 12 velocidades, FOX 32 Rhythm Remote",Bicicleta de Montaña
Spectral Mullet CF 8 CLLCTV,"3,269 US$","SRAM GX Eagle AXS, RockShox Lyrik Select+ RC",Bicicleta de Montaña
Spectral 29 CF 8,"3,549 US$","Shimano DEORE XT M8100, FOX 36 Performance Elite Grip2",Bicicleta de Montaña
Spectral CF 8 K.I.S.,"3,719 US$","SRAM GX Eagle AXS Transmission, RockShox Lyrik Select+ RC",Bicicleta de Montaña
Spectral 29 CFR,"4,899 US$","SRAM X01 Eagle AXS, FOX 36 Factory Grip2",Bicicleta de Montaña
Strive CFR Underdog,"3,649 US$","Shimano DEORE XT M8100, FOX 38 Performance Elite",Bicicleta de Montaña
Exceed CF 8,"3,279 US$","SRAM GX Eagle AXS Transmission, Fox Factory 32 Step Cast Remote",Bicicleta de Montaña
Exceed CF SLX,"3,649 US$","SRAM GX Eagle AXS, Fox Factory 32 Step Cast Remote",Bicicleta de Montaña
Grand Canyon 5,749 US$,"Shimano Deore M6100, Suntour X1 Coil 27.5",Bicicleta de Montaña
Neuron 6 WMN,"1,869 US$","Shimano SLX de 12 velocidades, FOX 34 Rhythm",Bicicleta de Montaña
Dude CF 8,"1,599 US$",Shimano Deore M6100,Bicicleta de Montaña
Neuron CF 8 WMN,"2,519 US$","Shimano SLX de 12 velocidades, FOX 34 Float Performance GRIP",Bicicleta de Montaña
Torque 29 CF 8,"3,699 US$","Shimano DEORE XT M8100, FOX 38 Performance Elite Series",Bicicleta de Montaña
Sender CFR Mullet LTD,"5,119 US$","SRAM X01 DH, RockShox Boxxer Ultimate RC2",Bicicleta de Montaña
Spectral 125 CF LTD,"5,549 US$","SRAM X0 Eagle AXS Transmission, RockShox Pike Ultimate Flight Attendant",Bicicleta de Montaña
Torque Park AL 6,"2,519 US$","SRAM GX Eagle de 12 velocidades, RockShox ZEB Select 27.5",Bicicleta de Montaña
Spectral 27.5 CF 8,"3,749 US$","Shimano DEORE XT M8100, FOX 36 Performance Elite Grip2",Bicicleta de Montaña
Neuron 5,"1,599 US$","Shimano Deore M6100, Rock Shox Recon Silver RL",Bicicleta de Montaña
Torque Mullet CF 7,"3,279 US$","SRAM GX Eagle de 12 velocidades, RockShox ZEB Select+ RC 29",Bicicleta de Montaña
Strive CFR,"4,919 US$","Shimano Deore XTR de 12 velocidades, FOX 38 Factory",Bicicleta de Montaña
Torque CF CLLCTV FW,"4,469 US$","SRAM X01 Eagle, Öhlins RXF38",Bicicleta de Montaña
Neuron CF 9 SL,"4,179 US$","SRAM GX Eagle AXS, FOX 34 Float Factory FIT4",Bicicleta de Montaña
Torque Mullet CF 8,"3,699 US$","Shimano DEORE XT M8100, FOX 38 Performance Elite Series",Bicicleta de Montaña
Torque Mullet CF 9,"4,669 US$","SRAM X0 Eagle AXS Transmission, FOX 38 Factory",Bicicleta de Montaña
Torque 5 (Mullet),"1,849 US$","Shimano Deore M6100, RockShox ZEB Select 29""",Bicicleta de Montaña
Torque DH CLLCTV,"2,329 US$","SRAM GX DH 7s, RockShox Boxxer Select RC 29""",Bicicleta de Montaña
Sender CFR 29 Underdog,"4,199 US$","SRAM GX DH 7s, FOX 40 Performance Elite Grip",Bicicleta de Montaña
Lux World Cup CFR Team,"6,499 US$","Shimano Deore XTR de 12 velocidades, FOX 32 Step-Cast Factory Remote",Bicicleta de Montaña
Spectral 5,"2,049 US$","SRAM SX Eagle, RockShox 35 Silver TK",Bicicleta de Montaña
Lux Trail CF 6,"3,099 US$","Shimano Deore M6100, FOX 34 Stepcast Performance 3-Pos Remote",Bicicleta de Montaña
Lux Trail CF 7,"3,449 US$","Shimano SLX de 12 velocidades, FOX 34 Stepcast Performance 3-Pos Remote",Bicicleta de Montaña
Neuron Young Hero,"1,599 US$","Shimano Deore M6100, Manitou Machete",Bicicleta de Montaña
Spectral CF 8 CLLCTV,"3,749 US$","Shimano DEORE XT M8100, FOX 36 Performance Elite",Bicicleta de Montaña
Grand Canyon 9,"1,699 US$","Shimano DEORE XT M8100, FOX 32 Rhythm GRIP",Bicicleta de Montaña
Lux Trail CF 8,"4,399 US$","Shimano DEORE XT M8100, FOX 34 SC Performance Elite",Bicicleta de Montaña
Stitched CFR Trial,"2,349 US$",,Bicicleta de Montaña
Grand Canyon 8,"1,399 US$","Shimano DEORE XT M8100, FOX 32 Rhythm GRIP",Bicicleta de Montaña
Stoic 2,949 US$,"Shimano CUES 10Speed, SR Suntour XCR34",Bicicleta de Montaña
Sender CFR 29 LTD,"5,599 US$","SRAM X01 DH, RockShox BoXXer Ultimate",Bicicleta de Montaña
Sender CFR Mullet LTD,"5,599 US$","SRAM X01 DH, RockShox BoXXer Ultimate",Bicicleta de Montaña
Lux World Cup CF 6,"3,099 US$","Shimano SLX de 12 velocidades, FOX 32 Step-Cast Performance Remote",Bicicleta de Montaña
Spectral 6,"2,499 US$","Shimano Deore M6100, FOX 36 Rhythm Grip",Bicicleta de Montaña
Spectral CF 7,"3,149 US$","Shimano SLX de 12 velocidades, FOX 36 Rhythm Grip",Bicicleta de Montaña
Lux Trail CFR,"6,499 US$","Shimano Deore XTR de 12 velocidades, FOX 34 Stepcast Factory Remote",Bicicleta de Montaña
Torque DH CLLCTV,"2,799 US$","SRAM GX DH 7s, RockShox Boxxer Base",Bicicleta de Montaña
Neuron LTD,"2,799 US$","SRAM GX Eagle AXS Transmission, FOX 34 Float Performance GRIP",Bicicleta de Montaña
Lux World Cup CFR Untamed,"7,449 US$","Shimano Deore XTR de 12 velocidades, DT Swiss F 232 ONE",Bicicleta de Montaña
Sender CFR Mullet,"5,849 US$","SRAM X01 DH, FOX 40 Factory GRIP2",Bicicleta de Montaña
Sender CFR 29,"5,849 US$","SRAM X01 DH, FOX 40 Factory GRIP2",Bicicleta de Montaña
Torque 29 CF 7,"3,749 US$","SRAM GX Eagle de 12 velocidades, RockShox ZEB Select+ RC 29",Bicicleta de Montaña
Sender CFR Mullet Underdog,"4,199 US$","SRAM GX DH 7s, FOX 40 Performance Elite Grip",Bicicleta de Montaña
Exceed CF 5,"1,799 US$","Shimano Deore M6100, RockShox Recon RL Remote",Bicicleta de Montaña
Torque Mullet CF 8,"3,899 US$","Shimano SLX de 12 velocidades, FOX 38 Performance Elite Series",Bicicleta de Montaña
Grand Canyon Young Hero,649 US$,"Shimano CUES 10Speed, Suntour X1 Coil 27.5",Bicicleta de Montaña
Torque Mullet AL 7,"2,999 US$","Shimano SLX de 12 velocidades, Fox 38 Rhythm Grip",Bicicleta de Montaña
Neuron 6,"2,149 US$","Shimano SLX de 12 velocidades, FOX 34 Rhythm",Bicicleta de Montaña
Stitched 360,949 US$,Manitou Circus Sport,Bicicleta de Montaña
Neuron 7,"2,499 US$","Shimano DEORE XT M8100, FOX 34 Float Performance GRIP",Bicicleta de Montaña
Spectral 125 CF LTD,"4,819 US$","SRAM X01 Eagle AXS, RockShox Pike Ultimate Flight Attendant",Bicicleta de Montaña
Torque 27.5 CF 9,"4,849 US$","Shimano Deore XTR de 12 velocidades, FOX 38 Factory",Bicicleta de Montaña
Spectral 29 CF 7,"2,789 US$","Shimano SLX de 12 velocidades, FOX 36 Rhythm Grip",Bicicleta de Montaña
Torque 29 CF 9,"4,389 US$","Shimano Deore XTR de 12 velocidades, FOX 38 Factory",Bicicleta de Montaña
Spectral 125 AL 5,"1,709 US$","Shimano Deore M6100, RockShox Pike",Bicicleta de Montaña
Ultimate CFR AXS,"8,369 US$","SRAM RED eTap AXS 12s, DT Swiss ARC 1100 Dicut db",Bicicleta de Ruta
Inflite CF SL 6,"1,879 US$","Shimano GRX RX820, DT Swiss Cross LN",Bicicleta de Ruta
Inflite CF SLX 8 Di2,"4,169 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss CRC 1400 Spline",Bicicleta de Ruta
Inflite CFR Di2 Team,"6,019 US$","Shimano Dura-Ace Di2 R9250, 12-speed, DT Swiss CRC 1100 Spline",Bicicleta de Ruta
Ultimate CFR eTap,"8,349 US$","SRAM RED eTap AXS 12s, ZIPP 353NSW Hookless",Bicicleta de Ruta
Roadlite 6,949 US$,"Alex Rims CRD30 / Shimano TX505, Shimano DEORE XT M8100",Bicicleta de Ruta
Aeroad CF SLX 8 Di2,"5,599 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss ARC 1400 Dicut",Bicicleta de Ruta
Ultimate CF SL 7,"2,349 US$","Shimano 105 R7100 12s, DT Swiss Performance LN",Bicicleta de Ruta
Endurace 7,"1,599 US$","Shimano 105 R7100 12s, DT Swiss Endurance LN",Bicicleta de Ruta
Ultimate CF SLX 8 Di2,"6,049 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss ARC 1400 Dicut db",Bicicleta de Ruta
Ultimate CF SL 7 AXS,"3,449 US$","SRAM Rival eTap AXS, DT Swiss Performance LN",Bicicleta de Ruta
Speedmax CF 7,"3,749 US$","Shimano 105 R7000 SS, DT Swiss ARC 1600",Bicicleta de Ruta
Endurace CF 7,"2,349 US$","Shimano 105 R7100 12s, DT Swiss Endurance LN",Bicicleta de Ruta
Endurace CF SLX 8 Di2,"4,849 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss ERC 1400 Dicut",Bicicleta de Ruta
Endurace 6,"1,299 US$","Shimano Tiagra 4700 GS, DT Swiss Endurance LN",Bicicleta de Ruta
Speedmax CFR Di2,"10,199 US$","Shimano Dura-Ace Di2 R9250, 12-speed, DT Swiss ARC 1100 Dicut",Bicicleta de Ruta
Endurace 7,"1,399 US$","Shimano 105 R7000 GS, Fulcrum Racing 900 DB",Bicicleta de Ruta
Ultimate CFR Di2 Aero,"9,299 US$","Shimano Dura-Ace Di2 R9250, 12-speed, DT Swiss ARC 1100 Dicut db",Bicicleta de Ruta
Endurace CF 8 Di2,"3,549 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss Endurance LN",Bicicleta de Ruta
Endurace CF SLX 7 Di2,"4,199 US$","Shimano 105 Di2 R7100, 12-speed, DT Swiss ERC 1600 Dicut HG",Bicicleta de Ruta
Endurace CF 6,"1,899 US$","Shimano Tiagra 4700 GS, Fulcrum Racing 900 DB",Bicicleta de Ruta
Endurace CF SLX 7 AXS,"3,749 US$","SRAM Rival eTap AXS, DT Swiss Endurance LN",Bicicleta de Ruta
Aeroad CFR Di2,"8,549 US$","Shimano Dura-Ace Di2 R9250, 12-speed, DT Swiss ARC 1100 Dicut",Bicicleta de Ruta
Ultimate CFR Di2,"9,299 US$","Shimano Dura-Ace Di2 R9250, 12-speed, DT Swiss PRC 1100 Dicut Mon Chasseral",Bicicleta de Ruta
Speedmax CFR Disc Di2,"10,199 US$","Shimano Dura-Ace Di2 R9250, 12-speed, DT Swiss ARC 1100 Dicut",Bicicleta de Ruta
Ultimate CF SLX 8 Force AXS,"6,499 US$","SRAM Force AXS 12s, Zipp 303 Firecrest Force Launch Edition",Bicicleta de Ruta
Ultimate CF SLX 9 Di2,"8,099 US$","Shimano Dura-Ace Di2 R9250, 12-speed, DT Swiss ARC 1100 Dicut db",Bicicleta de Ruta
Endurace CFR Di2,"8,349 US$","Shimano Dura-Ace Di2 R9250, 12-speed, DT Swiss ERC 1100 Dicut",Bicicleta de Ruta
Ultimate CF SL 7 Di2,"3,749 US$","Shimano 105 Di2 R7100, 12-speed, WH DT P1800 SP 28 12X100 23 CL",Bicicleta de Ruta
Ultimate CF SL 7,"2,499 US$","Shimano 105 R7000 SS, DT Swiss Performance LN",Bicicleta de Ruta
Speedmax CF SLX 8 Di2,"7,899 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss ARC 1400 Dicut",Bicicleta de Ruta
Endurace 7 RB,"1,249 US$","Shimano 105 R7000 GS, Fulcrum Racing 900",Bicicleta de Ruta
Endurace CF SLX 8 Di2,"4,099 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss Endurance LN",Bicicleta de Ruta
Endurace CF 7,"1,899 US$","Shimano 105 R7000 GS, Fulcrum Racing 900 DB",Bicicleta de Ruta
Aeroad CF SL 8,"3,749 US$","Shimano Ultegra R8000 SS, DT Swiss ARC 1600",Bicicleta de Ruta
Endurace CF SLX 8 Di2 Aero,"4,849 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss ERC 1400 Dicut",Bicicleta de Ruta
Speedmax CF SLX 8 Disc Di2,"7,899 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss ARC 1400 Dicut",Bicicleta de Ruta
Ultimate CF SL 8 Aero,"4,649 US$","Shimano Ultegra Di2 R8150, 12-speed, DT Swiss ARC 1600",Bicicleta de Ruta
Speedmax CFR Track,"18,549 US$",CANYON CFR Track Disc Front,Bicicleta de Ruta
Roadlite 7,"1,399 US$","Alexrims CRD30 | Buje Shimano MT410 12 velocidades, Shimano DEORE XT M8100",Bicicleta de Ruta
Roadlite 5,949 US$,"Alex Rims CRD30 / Shimano TX505, Shimano Deore M5100 11s",Bicicleta de Ruta
Aeroad CFR eTap,"9,279 US$","SRAM RED eTap AXS 12s, ZIPP 454 NSW TL Hookless",Bicicleta de Ruta
Aeroad CF SLX 8 eTap,"5,379 US$","SRAM Force eTap AXS, DT Swiss ARC 1400 Dicut",Bicicleta de Ruta
Inflite CF SL 7,"2,609 US$","Shimano GRX RX810 GS, DT Swiss C 1800 Spline db",Bicicleta de Ruta
Aeroad CF SLX 7 eTap,"4,369 US$","SRAM Rival eTap AXS, DT Swiss ARC 1600",Bicicleta de Ruta
Aeroad CF SLX 8 Force AXS,"5,879 US$","SRAM Force AXS 12s, DT Swiss ARC 1400 Dicut",Bicicleta de Ruta
Ultimate CFR Disc Frame and Brake Kit,"4,649 US$",,Bicicleta de Ruta
Aeroad CFR Disc Frame and Brake Kit,"4,199 US$",,Bicicleta de Ruta
Endurace CF SLX 8 AXS,"4,819 US$","SRAM Force AXS 12s, DT Swiss ERC 1400 Dicut",Bicicleta de Ruta
Ultimate CFR Disc Frame and Brake Kit,"4,649 US$",,Bicicleta de Ruta
Inflite CF SLX 9 Team,"3,909 US$","Shimano RD-RX815, DT Swiss CRC 1400 Spline",Bicicleta de Ruta
Ultimate CF SLX 8 eTap,"5,569 US$","SRAM Force eTap AXS, DT Swiss ARC 1400 Dicut db",Bicicleta de Ruta
Aeroad CFR eTap,"8,819 US$","SRAM RED eTap AXS 12s, ZIPP 454 NSW TL Hookless",Bicicleta de Ruta
Speedmax CFR TT,"11,149 US$","Shimano Dura-Ace R9200, 12-speed, DT Swiss ARC 1100 Dicut",Bicicleta de Ruta
